中文简称,地区码,区域名称,上级区域编码,
乐亭县,130225,乐亭县,130200,
迁西县,130227,迁西县,130200,
玉田县,130229,玉田县,130200,
遵化市,130281,遵化市,130200,
迁安市,130283,迁安市,130200,
秦皇岛,130300,秦皇岛市,130000,
海港区,130302,海港区,130300,
山海关区,130303,山海关区,130300,
北戴河区,130304,北戴河区,130300,
抚宁区,130306,抚宁区,130300,
青龙满族自治县,130321,青龙满族自治县,130300,
昌黎县,130322,昌黎县,130300,
卢龙县,130324,卢龙县,130300,
邯郸,130400,邯郸市,130000,
邯山区,130402,邯山区,130400,
丛台区,130403,丛台区,130400,
复兴区,130404,复兴区,130400,
峰峰矿区,130406,峰峰矿区,130400,
临漳县,130423,临漳县,130400,
成安县,130424,成安县,130400,
大名县,130425,大名县,130400,
涉县,130426,涉县,130400,
磁县,130427,磁县,130400,
肥乡区,130428,肥乡区,130400,
永年区,130429,永年区,130400,
邱县,130430,邱县,130400,
鸡泽县,130431,鸡泽县,130400,
广平县,130432,广平县,130400,
馆陶县,130433,馆陶县,130400,
魏县,130434,魏县,130400,
曲周县,130435,曲周县,130400,
武安市,130481,武安市,130400,
邢台,130500,邢台市,130000,
桥东区,130502,桥东区,130500,
桥西区,130503,桥西区,130500,
邢台县,130521,邢台县,130500,
临城县,130522,临城县,130500,
内丘县,130523,内丘县,130500,
柏乡县,130524,柏乡县,130500,
隆尧县,130525,隆尧县,130500,
任县,130526,任县,130500,
南和县,130527,南和县,130500,
宁晋县,130528,宁晋县,130500,
巨鹿县,130529,巨鹿县,130500,
新河县,130530,新河县,130500,
广宗县,130531,广宗县,130500,
平乡县,130532,平乡县,130500,
威县,130533,威县,130500,
清河县,130534,清河县,130500,
临西县,130535,临西县,130500,
南宫市,130581,南宫市,130500,
沙河市,130582,沙河市,130500,
保定,130600,保定市,130000,
竞秀区,130602,竞秀区,130600,
莲池区,130606,莲池区,130600,
满城区,130607,满城区,130600,
清苑区,130608,清苑区,130600,
徐水区,130609,徐水区,130600,
涞水县,130623,涞水县,130600,
阜平县,130624,阜平县,130600,
定兴县,130626,定兴县,130600,
唐县,130627,唐县,130600,
高阳县,130628,高阳县,130600,
容城县,130629,容城县,130600,
涞源县,130630,涞源县,130600,
望都县,130631,望都县,130600,
安新县,130632,安新县,130600,
易县,130633,易县,130600,
曲阳县,130634,曲阳县,130600,
蠡县,130635,蠡县,130600,
顺平县,130636,顺平县,130600,
博野县,130637,博野县,130600,
雄县,130638,雄县,130600,
涿州市,130681,涿州市,130600,
定州市,130682,定州市,130600,
安国市,130683,安国市,130600,
高碑店市,130684,高碑店市,130600,
张家口,130700,张家口市,130000,
桥东区,130702,桥东区,130700,
桥西区,130703,桥西区,130700,
宣化区,130705,宣化区,130700,
下花园区,130706,下花园区,130700,
万全区,130708,万全区,130700,
崇礼区,130709,崇礼区,130700,
张北县,130722,张北县,130700,
康保县,130723,康保县,130700,
沽源县,130724,沽源县,130700,
尚义县,130725,尚义县,130700,
蔚县,130726,蔚县,130700,
阳原县,130727,阳原县,130700,
怀安县,130728,怀安县,130700,
怀来县,130730,怀来县,130700,
涿鹿县,130731,涿鹿县,130700,
赤城县,130732,赤城县,130700,
承德,130800,承德市,130000,
双桥区,130802,双桥区,130800,
双滦区,130803,双滦区,130800,
鹰手营子矿区,130804,鹰手营子矿区,130800,
承德县,130821,承德县,130800,
兴隆县,130822,兴隆县,130800,
平泉县,130823,平泉县,130800,
滦平县,130824,滦平县,130800,
隆化县,130825,隆化县,130800,
丰宁满族自治县,130826,丰宁满族自治县,130800,
宽城满族自治县,130827,宽城满族自治县,130800,
围场满族蒙古族自治县,130828,围场满族蒙古族自治县,130800,
沧州,130900,沧州市,130000,
新华区,130902,新华区,130900,
运河区,130903,运河区,130900,
沧县,130921,沧县,130900,
青县,130922,青县,130900,
东光县,130923,东光县,130900,
海兴县,130924,海兴县,130900,
盐山县,130925,盐山县,130900,
肃宁县,130926,肃宁县,130900,
南皮县,130927,南皮县,130900,
吴桥县,130928,吴桥县,130900,
献县,130929,献县,130900,
孟村回族自治县,130930,孟村回族自治县,130900,
泊头市,130981,泊头市,130900,
任丘市,130982,任丘市,130900,
黄骅市,130983,黄骅市,130900,
河间市,130984,河间市,130900,
廊坊,131000,廊坊市,130000,
安次区,131002,安次区,131000,
广阳区,131003,广阳区,131000,
固安县,131022,固安县,131000,
永清县,131023,永清县,131000,
香河县,131024,香河县,131000,
大城县,131025,大城县,131000,
文安县,131026,文安县,131000,
大厂回族自治县,131028,大厂回族自治县,131000,
霸州市,131081,霸州市,131000,
三河市,131082,三河市,131000,
衡水,131100,衡水市,130000,
桃城区,131102,桃城区,131100,
冀州区,131103,冀州区,131100,
枣强县,131121,枣强县,131100,
武邑县,131122,武邑县,131100,
武强县,131123,武强县,131100,
饶阳县,131124,饶阳县,131100,
安平县,131125,安平县,131100,
故城县,131126,故城县,131100,
景县,131127,景县,131100,
阜城县,131128,阜城县,131100,
深州市,131182,深州市,131100,
山西,140000,山西省,1,
太原,140100,太原市,140000,
小店区,140105,小店区,140100,
迎泽区,140106,迎泽区,140100,
杏花岭区,140107,杏花岭区,140100,
尖草坪区,140108,尖草坪区,140100,
万柏林区,140109,万柏林区,140100,
晋源区,140110,晋源区,140100,
清徐县,140121,清徐县,140100,
阳曲县,140122,阳曲县,140100,
娄烦县,140123,娄烦县,140100,
古交市,140181,古交市,140100,
大同,140200,大同市,140000,
城区,140202,城区,140200,
矿区,140203,矿区,140200,
南郊区,140211,南郊区,140200,
新荣区,140212,新荣区,140200,
阳高县,140221,阳高县,140200,
天镇县,140222,天镇县,140200,
广灵县,140223,广灵县,140200,
灵丘县,140224,灵丘县,140200,
浑源县,140225,浑源县,140200,
左云县,140226,左云县,140200,
大同县,140227,大同县,140200,
阳泉,140300,阳泉市,140000,
城区,140302,城区,140300,
矿区,140303,矿区,140300,
郊区,140311,郊区,140300,
平定县,140321,平定县,140300,
盂县,140322,盂县,140300,
长治,140400,长治市,140000,
城区,140402,城区,140400,
郊区,140411,郊区,140400,
长治县,140421,长治县,140400,
襄垣县,140423,襄垣县,140400,
屯留县,140424,屯留县,140400,
平顺县,140425,平顺县,140400,
黎城县,140426,黎城县,140400,
壶关县,140427,壶关县,140400,
长子县,140428,长子县,140400,
武乡县,140429,武乡县,140400,
沁县,140430,沁县,140400,
沁源县,140431,沁源县,140400,
潞城市,140481,潞城市,140400,
晋城,140500,晋城市,140000,
城区,140502,城区,140500,
沁水县,140521,沁水县,140500,
阳城县,140522,阳城县,140500,
陵川县,140524,陵川县,140500,
泽州县,140525,泽州县,140500,
高平市,140581,高平市,140500,
朔州,140600,朔州市,140000,
朔城区,140602,朔城区,140600,
平鲁区,140603,平鲁区,140600,
山阴县,140621,山阴县,140600,
应县,140622,应县,140600,
右玉县,140623,右玉县,140600,
怀仁县,140624,怀仁县,140600,
晋中,140700,晋中市,140000,
榆次区,140702,榆次区,140700,
榆社县,140721,榆社县,140700,
左权县,140722,左权县,140700,
和顺县,140723,和顺县,140700,
昔阳县,140724,昔阳县,140700,
寿阳县,140725,寿阳县,140700,
太谷县,140726,太谷县,140700,
祁县,140727,祁县,140700,
平遥县,140728,平遥县,140700,
灵石县,140729,灵石县,140700,
介休市,140781,介休市,140700,
运城,140800,运城市,140000,
盐湖区,140802,盐湖区,140800,
临猗县,140821,临猗县,140800,
万荣县,140822,万荣县,140800,
闻喜县,140823,闻喜县,140800,
稷山县,140824,稷山县,140800,
新绛县,140825,新绛县,140800,
绛县,140826,绛县,140800,
垣曲县,140827,垣曲县,140800,
夏县,140828,夏县,140800,
平陆县,140829,平陆县,140800,
芮城县,140830,芮城县,140800,
永济市,140881,永济市,140800,
河津市,140882,河津市,140800,
忻州,140900,忻州市,140000,
忻府区,140902,忻府区,140900,
定襄县,140921,定襄县,140900,
五台县,140922,五台县,140900,
代县,140923,代县,140900,
繁峙县,140924,繁峙县,140900,
宁武县,140925,宁武县,140900,
静乐县,140926,静乐县,140900,
神池县,140927,神池县,140900,
五寨县,140928,五寨县,140900,
岢岚县,140929,岢岚县,140900,
河曲县,140930,河曲县,140900,
保德县,140931,保德县,140900,
偏关县,140932,偏关县,140900,
原平市,140981,原平市,140900,
临汾,141000,临汾市,140000,
尧都区,141002,尧都区,141000,
曲沃县,141021,曲沃县,141000,
翼城县,141022,翼城县,141000,
襄汾县,141023,襄汾县,141000,
洪洞县,141024,洪洞县,141000,
古县,141025,古县,141000,
安泽县,141026,安泽县,141000,
浮山县,141027,浮山县,141000,
吉县,141028,吉县,141000,
乡宁县,141029,乡宁县,141000,
大宁县,141030,大宁县,141000,
隰县,141031,隰县,141000,
永和县,141032,永和县,141000,
蒲县,141033,蒲县,141000,
汾西县,141034,汾西县,141000,
侯马市,141081,侯马市,141000,
霍州市,141082,霍州市,141000,
吕梁,141100,吕梁市,140000,
离石区,141102,离石区,141100,
文水县,141121,文水县,141100,
交城县,141122,交城县,141100,
兴县,141123,兴县,141100,
临县,141124,临县,141100,
柳林县,141125,柳林县,141100,
石楼县,141126,石楼县,141100,
岚县,141127,岚县,141100,
方山县,141128,方山县,141100,
中阳县,141129,中阳县,141100,
交口县,141130,交口县,141100,
孝义市,141181,孝义市,141100,
汾阳市,141182,汾阳市,141100,
内蒙古,150000,内蒙古自治区,1,
呼和浩特,150100,呼和浩特市,150000,
新城区,150102,新城区,150100,
回民区,150103,回民区,150100,
玉泉区,150104,玉泉区,150100,
赛罕区,150105,赛罕区,150100,
土默特左旗,150121,土默特左旗,150100,
托克托县,150122,托克托县,150100,
和林格尔县,150123,和林格尔县,150100,
清水河县,150124,清水河县,150100,
武川县,150125,武川县,150100,
包头,150200,包头市,150000,
东河区,150202,东河区,150200,
昆都仑区,150203,昆都仑区,150200,
青山区,150204,青山区,150200,
石拐区,150205,石拐区,150200,
白云鄂博矿区,150206,白云鄂博矿区,150200,
九原区,150207,九原区,150200,
土默特右旗,150221,土默特右旗,150200,
固阳县,150222,固阳县,150200,
达尔罕茂明安联合旗,150223,达尔罕茂明安联合旗,150200,
乌海,150300,乌海市,150000,
海勃湾区,150302,海勃湾区,150300,
海南区,150303,海南区,150300,
乌达区,150304,乌达区,150300,
赤峰,150400,赤峰市,150000,
红山区,150402,红山区,150400,
元宝山区,150403,元宝山区,150400,
松山区,150404,松山区,150400,
阿鲁科尔沁旗,150421,阿鲁科尔沁旗,150400,
巴林左旗,150422,巴林左旗,150400,
巴林右旗,150423,巴林右旗,150400,
林西县,150424,林西县,150400,
克什克腾旗,150425,克什克腾旗,150400,
翁牛特旗,150426,翁牛特旗,150400,
喀喇沁旗,150428,喀喇沁旗,150400,
宁城县,150429,宁城县,150400,
敖汉旗,150430,敖汉旗,150400,
通辽,150500,通辽市,150000,
科尔沁区,150502,科尔沁区,150500,
科尔沁左翼中旗,150521,科尔沁左翼中旗,150500,
科尔沁左翼后旗,150522,科尔沁左翼后旗,150500,
开鲁县,150523,开鲁县,150500,
库伦旗,150524,库伦旗,150500,
奈曼旗,150525,奈曼旗,150500,
扎鲁特旗,150526,扎鲁特旗,150500,
霍林郭勒市,150581,霍林郭勒市,150500,
鄂尔多斯,150600,鄂尔多斯市,150000,
东胜区,150602,东胜区,150600,
康巴什区,150603,康巴什区,150600,
达拉特旗,150621,达拉特旗,150600,
准格尔旗,150622,准格尔旗,150600,
鄂托克前旗,150623,鄂托克前旗,150600,
鄂托克旗,150624,鄂托克旗,150600,
杭锦旗,150625,杭锦旗,150600,
乌审旗,150626,乌审旗,150600,
伊金霍洛旗,150627,伊金霍洛旗,150600,
呼伦贝尔,150700,呼伦贝尔市,150000,
海拉尔区,150702,海拉尔区,150700,
扎赉诺尔区,150703,扎赉诺尔区,150700,
阿荣旗,150721,阿荣旗,150700,
莫力达瓦达斡尔族自治旗,150722,莫力达瓦达斡尔族自治旗,150700,
鄂伦春自治旗,150723,鄂伦春自治旗,150700,
鄂温克族自治旗,150724,鄂温克族自治旗,150700,
陈巴尔虎旗,150725,陈巴尔虎旗,150700,
新巴尔虎左旗,150726,新巴尔虎左旗,150700,
新巴尔虎右旗,150727,新巴尔虎右旗,150700,
满洲里市,150781,满洲里市,150700,
牙克石市,150782,牙克石市,150700,
扎兰屯市,150783,扎兰屯市,150700,
额尔古纳市,150784,额尔古纳市,150700,
根河市,150785,根河市,150700,
巴彦淖尔,150800,巴彦淖尔市,150000,
临河区,150802,临河区,150800,
五原县,150821,五原县,150800,
磴口县,150822,磴口县,150800,
乌拉特前旗,150823,乌拉特前旗,150800,
乌拉特中旗,150824,乌拉特中旗,150800,
乌拉特后旗,150825,乌拉特后旗,150800,
杭锦后旗,150826,杭锦后旗,150800,
乌兰察布,150900,乌兰察布市,150000,
集宁区,150902,集宁区,150900,
卓资县,150921,卓资县,150900,
化德县,150922,化德县,150900,
商都县,150923,商都县,150900,
兴和县,150924,兴和县,150900,
凉城县,150925,凉城县,150900,
察哈尔右翼前旗,150926,察哈尔右翼前旗,150900,
察哈尔右翼中旗,150927,察哈尔右翼中旗,150900,
察哈尔右翼后旗,150928,察哈尔右翼后旗,150900,
四子王旗,150929,四子王旗,150900,
丰镇市,150981,丰镇市,150900,
兴安盟,152200,兴安盟,150000,
乌兰浩特市,152201,乌兰浩特市,152200,
阿尔山市,152202,阿尔山市,152200,
科尔沁右翼前旗,152221,科尔沁右翼前旗,152200,
科尔沁右翼中旗,152222,科尔沁右翼中旗,152200,
扎赉特旗,152223,扎赉特旗,152200,
突泉县,152224,突泉县,152200,
锡林郭勒盟,152500,锡林郭勒盟,150000,
二连浩特市,152501,二连浩特市,152500,
锡林浩特市,152502,锡林浩特市,152500,
阿巴嘎旗,152522,阿巴嘎旗,152500,
苏尼特左旗,152523,苏尼特左旗,152500,
苏尼特右旗,152524,苏尼特右旗,152500,
东乌珠穆沁旗,152525,东乌珠穆沁旗,152500,
西乌珠穆沁旗,152526,西乌珠穆沁旗,152500,
太仆寺旗,152527,太仆寺旗,152500,
镶黄旗,152528,镶黄旗,152500,
正镶白旗,152529,正镶白旗,152500,
正蓝旗,152530,正蓝旗,152500,
多伦县,152531,多伦县,152500,
阿拉善盟,152900,阿拉善盟,150000,
阿拉善左旗,152921,阿拉善左旗,152900,
阿拉善右旗,152922,阿拉善右旗,152900,
额济纳旗,152923,额济纳旗,152900,
辽宁,210000,辽宁省,1,
沈阳,210100,沈阳市,210000,
和平区,210102,和平区,210100,
沈河区,210103,沈河区,210100,
大东区,210104,大东区,210100,
皇姑区,210105,皇姑区,210100,
铁西区,210106,铁西区,210100,
苏家屯区,210111,苏家屯区,210100,
浑南区,210112,浑南区,210100,
沈北新区,210113,沈北新区,210100,
于洪区,210114,于洪区,210100,
辽中区,210115,辽中区,210100,
康平县,210123,康平县,210100,
法库县,210124,法库县,210100,
新民市,210181,新民市,210100,
大连,210200,大连市,210000,
中山区,210202,中山区,210200,
西岗区,210203,西岗区,210200,
沙河口区,210204,沙河口区,210200,
甘井子区,210211,甘井子区,210200,
旅顺口区,210212,旅顺口区,210200,
金州区,210213,金州区,210200,
普兰店区,210214,普兰店区,210200,
长海县,210224,长海县,210200,
瓦房店市,210281,瓦房店市,210200,
庄河市,210283,庄河市,210200,
鞍山,210300,鞍山市,210000,
铁东区,210302,铁东区,210300,
铁西区,210303,铁西区,210300,
立山区,210304,立山区,210300,
千山区,210311,千山区,210300,
台安县,210321,台安县,210300,
岫岩满族自治县,210323,岫岩满族自治县,210300,
海城市,210381,海城市,210300,
抚顺,210400,抚顺市,210000,
新抚区,210402,新抚区,210400,
东洲区,210403,东洲区,210400,
望花区,210404,望花区,210400,
顺城区,210411,顺城区,210400,
抚顺县,210421,抚顺县,210400,
新宾满族自治县,210422,新宾满族自治县,210400,
清原满族自治县,210423,清原满族自治县,210400,
本溪,210500,本溪市,210000,
平山区,210502,平山区,210500,
溪湖区,210503,溪湖区,210500,
明山区,210504,明山区,210500,
南芬区,210505,南芬区,210500,
本溪满族自治县,210521,本溪满族自治县,210500,
桓仁满族自治县,210522,桓仁满族自治县,210500,
丹东,210600,丹东市,210000,
元宝区,210602,元宝区,210600,
振兴区,210603,振兴区,210600,
振安区,210604,振安区,210600,
宽甸满族自治县,210624,宽甸满族自治县,210600,
东港市,210681,东港市,210600,
凤城市,210682,凤城市,210600,
锦州,210700,锦州市,210000,
古塔区,210702,古塔区,210700,
凌河区,210703,凌河区,210700,
太和区,210711,太和区,210700,
黑山县,210726,黑山县,210700,
义县,210727,义县,210700,
凌海市,210781,凌海市,210700,
北镇市,210782,北镇市,210700,
营口,210800,营口市,210000,
站前区,210802,站前区,210800,
西市区,210803,西市区,210800,
鲅鱼圈区,210804,鲅鱼圈区,210800,
老边区,210811,老边区,210800,
盖州市,210881,盖州市,210800,
大石桥市,210882,大石桥市,210800,
阜新,210900,阜新市,210000,
海州区,210902,海州区,210900,
新邱区,210903,新邱区,210900,
太平区,210904,太平区,210900,
清河门区,210905,清河门区,210900,
细河区,210911,细河区,210900,
阜新蒙古族自治县,210921,阜新蒙古族自治县,210900,
彰武县,210922,彰武县,210900,
辽阳,211000,辽阳市,210000,
白塔区,211002,白塔区,211000,
文圣区,211003,文圣区,211000,
宏伟区,211004,宏伟区,211000,
弓长岭区,211005,弓长岭区,211000,
太子河区,211011,太子河区,211000,
辽阳县,211021,辽阳县,211000,
灯塔市,211081,灯塔市,211000,
盘锦,211100,盘锦市,210000,
双台子区,211102,双台子区,211100,
兴隆台区,211103,兴隆台区,211100,
大洼区,211104,大洼区,211100,
盘山县,211122,盘山县,211100,
铁岭,211200,铁岭市,210000,
银州区,211202,银州区,211200,
清河区,211204,清河区,211200,
铁岭县,211221,铁岭县,211200,
西丰县,211223,西丰县,211200,
昌图县,211224,昌图县,211200,
调兵山市,211281,调兵山市,211200,
开原市,211282,开原市,211200,
朝阳,211300,朝阳市,210000,
双塔区,211302,双塔区,211300,
龙城区,211303,龙城区,211300,
朝阳县,211321,朝阳县,211300,
建平县,211322,建平县,211300,
喀喇沁左翼蒙古族自治县,211324,喀喇沁左翼蒙古族自治县,211300,
北票市,211381,北票市,211300,
凌源市,211382,凌源市,211300,
葫芦岛,211400,葫芦岛市,210000,
连山区,211402,连山区,211400,
龙港区,211403,龙港区,211400,
南票区,211404,南票区,211400,
绥中县,211421,绥中县,211400,
建昌县,211422,建昌县,211400,
兴城市,211481,兴城市,211400,
吉林,220000,吉林省,1,
长春,220100,长春市,220000,
南关区,220102,南关区,220100,
宽城区,220103,宽城区,220100,
朝阳区,220104,朝阳区,220100,
二道区,220105,二道区,220100,
绿园区,220106,绿园区,220100,
双阳区,220112,双阳区,220100,
九台区,220113,九台区,220100,
农安县,220122,农安县,220100,
榆树市,220182,榆树市,220100,
德惠市,220183,德惠市,220100,
吉林,220200,吉林市,220000,
昌邑区,220202,昌邑区,220200,
龙潭区,220203,龙潭区,220200,
船营区,220204,船营区,220200,
丰满区,220211,丰满区,220200,
永吉县,220221,永吉县,220200,
蛟河市,220281,蛟河市,220200,
桦甸市,220282,桦甸市,220200,
舒兰市,220283,舒兰市,220200,
磐石市,220284,磐石市,220200,
四平,220300,四平市,220000,
铁西区,220302,铁西区,220300,
铁东区,220303,铁东区,220300,
梨树县,220322,梨树县,220300,
伊通满族自治县,220323,伊通满族自治县,220300,
公主岭市,220381,公主岭市,220300,
双辽市,220382,双辽市,220300,
辽源,220400,辽源市,220000,
龙山区,220402,龙山区,220400,
西安区,220403,西安区,220400,
东丰县,220421,东丰县,220400,
东辽县,220422,东辽县,220400,
通化,220500,通化市,220000,
东昌区,220502,东昌区,220500,
二道江区,220503,二道江区,220500,
通化县,220521,通化县,220500,
辉南县,220523,辉南县,220500,
柳河县,220524,柳河县,220500,
梅河口市,220581,梅河口市,220500,
集安市,220582,集安市,220500,
白山,220600,白山市,220000,
浑江区,220602,浑江区,220600,
江源区,220605,江源区,220600,
抚松县,220621,抚松县,220600,
靖宇县,220622,靖宇县,220600,
长白朝鲜族自治县,220623,长白朝鲜族自治县,220600,
临江市,220681,临江市,220600,
松原,220700,松原市,220000,
宁江区,220702,宁江区,220700,
前郭尔罗斯蒙古族自治县,220721,前郭尔罗斯蒙古族自治县,220700,
长岭县,220722,长岭县,220700,
乾安县,220723,乾安县,220700,
扶余市,220781,扶余市,220700,
白城,220800,白城市,220000,
洮北区,220802,洮北区,220800,
镇赉县,220821,镇赉县,220800,
通榆县,220822,通榆县,220800,
洮南市,220881,洮南市,220800,
大安市,220882,大安市,220800,
延边朝鲜族自治州,222400,延边朝鲜族自治州,220000,
延吉市,222401,延吉市,222400,
图们市,222402,图们市,222400,
敦化市,222403,敦化市,222400,
珲春市,222404,珲春市,222400,
龙井市,222405,龙井市,222400,
和龙市,222406,和龙市,222400,
汪清县,222424,汪清县,222400,
安图县,222426,安图县,222400,
黑龙江,230000,黑龙江省,1,
哈尔滨,230100,哈尔滨市,230000,
道里区,230102,道里区,230100,
南岗区,230103,南岗区,230100,
道外区,230104,道外区,230100,
平房区,230108,平房区,230100,
松北区,230109,松北区,230100,
香坊区,230110,香坊区,230100,
呼兰区,230111,呼兰区,230100,
阿城区,230112,阿城区,230100,
双城区,230113,双城区,230100,
依兰县,230123,依兰县,230100,
方正县,230124,方正县,230100,
宾县,230125,宾县,230100,
巴彦县,230126,巴彦县,230100,
木兰县,230127,木兰县,230100,
通河县,230128,通河县,230100,
延寿县,230129,延寿县,230100,
尚志市,230183,尚志市,230100,
五常市,230184,五常市,230100,
齐齐哈尔,230200,齐齐哈尔市,230000,
龙沙区,230202,龙沙区,230200,
建华区,230203,建华区,230200,
铁锋区,230204,铁锋区,230200,
昂昂溪区,230205,昂昂溪区,230200,
富拉尔基区,230206,富拉尔基区,230200,
碾子山区,230207,碾子山区,230200,
梅里斯达斡尔族区,230208,梅里斯达斡尔族区,230200,
龙江县,230221,龙江县,230200,
依安县,230223,依安县,230200,
泰来县,230224,泰来县,230200,
甘南县,230225,甘南县,230200,
富裕县,230227,富裕县,230200,
克山县,230229,克山县,230200,
克东县,230230,克东县,230200,
拜泉县,230231,拜泉县,230200,
讷河市,230281,讷河市,230200,
鸡西,230300,鸡西市,230000,
鸡冠区,230302,鸡冠区,230300,
恒山区,230303,恒山区,230300,
滴道区,230304,滴道区,230300,
梨树区,230305,梨树区,230300,
城子河区,230306,城子河区,230300,
麻山区,230307,麻山区,230300,
鸡东县,230321,鸡东县,230300,
虎林市,230381,虎林市,230300,
密山市,230382,密山市,230300,
鹤岗,230400,鹤岗市,230000,
向阳区,230402,向阳区,230400,
工农区,230403,工农区,230400,
南山区,230404,南山区,230400,
兴安区,230405,兴安区,230400,
东山区,230406,东山区,230400,
兴山区,230407,兴山区,230400,
萝北县,230421,萝北县,230400,
绥滨县,230422,绥滨县,230400,
双鸭山,230500,双鸭山市,230000,
尖山区,230502,尖山区,230500,
岭东区,230503,岭东区,230500,
四方台区,230505,四方台区,230500,
宝山区,230506,宝山区,230500,
集贤县,230521,集贤县,230500,
友谊县,230522,友谊县,230500,
宝清县,230523,宝清县,230500,
饶河县,230524,饶河县,230500,
大庆,230600,大庆市,230000,
萨尔图区,230602,萨尔图区,230600,
龙凤区,230603,龙凤区,230600,
让胡路区,230604,让胡路区,230600,
红岗区,230605,红岗区,230600,
大同区,230606,大同区,230600,
肇州县,230621,肇州县,230600,
肇源县,230622,肇源县,230600,
林甸县,230623,林甸县,230600,
杜尔伯特蒙古族自治县,230624,杜尔伯特蒙古族自治县,230600,
伊春,230700,伊春市,230000,
伊春区,230702,伊春区,230700,
南岔区,230703,南岔区,230700,
友好区,230704,友好区,230700,
西林区,230705,西林区,230700,
翠峦区,230706,翠峦区,230700,
新青区,230707,新青区,230700,
美溪区,230708,美溪区,230700,
金山屯区,230709,金山屯区,230700,
五营区,230710,五营区,230700,
乌马河区,230711,乌马河区,230700,
汤旺河区,230712,汤旺河区,230700,
带岭区,230713,带岭区,230700,
乌伊岭区,230714,乌伊岭区,230700,
红星区,230715,红星区,230700,
上甘岭区,230716,上甘岭区,230700,
嘉荫县,230722,嘉荫县,230700,
铁力市,230781,铁力市,230700,
佳木斯,230800,佳木斯市,230000,
向阳区,230803,向阳区,230800,
前进区,230804,前进区,230800,
东风区,230805,东风区,230800,
郊区,230811,郊区,230800,
桦南县,230822,桦南县,230800,
桦川县,230826,桦川县,230800,
汤原县,230828,汤原县,230800,
同江市,230881,同江市,230800,
富锦市,230882,富锦市,230800,
抚远市,230883,抚远市,230800,
七台河,230900,七台河市,230000,
新兴区,230902,新兴区,230900,
桃山区,230903,桃山区,230900,
茄子河区,230904,茄子河区,230900,
勃利县,230921,勃利县,230900,
牡丹江,231000,牡丹江市,230000,
东安区,231002,东安区,231000,
阳明区,231003,阳明区,231000,
爱民区,231004,爱民区,231000,
西安区,231005,西安区,231000,
林口县,231025,林口县,231000,
绥芬河市,231081,绥芬河市,231000,
海林市,231083,海林市,231000,
宁安市,231084,宁安市,231000,
穆棱市,231085,穆棱市,231000,
东宁市,231086,东宁市,231000,
黑河,231100,黑河市,230000,
爱辉区,231102,爱辉区,231100,
嫩江县,231121,嫩江县,231100,
逊克县,231123,逊克县,231100,
孙吴县,231124,孙吴县,231100,
北安市,231181,北安市,231100,
五大连池市,231182,五大连池市,231100,
绥化,231200,绥化市,230000,
北林区,231202,北林区,231200,
望奎县,231221,望奎县,231200,
兰西县,231222,兰西县,231200,
青冈县,231223,青冈县,231200,
庆安县,231224,庆安县,231200,
